AIM	AOL Instant Messenger
abc	already been chewed
abc	always be careful
abt	about
acc	account
adn	any day now
afaik	as far as I know
afk	away from keyboard
aitr	adult in the room
aka	also know as
alol	actual laugh out loud
anx	thanks
aoas	all of a sudden
argh	angry
asap	as soon as possible
asl	age, sex, location
atl	all time love
atm	at the moment
att	all the time
atw	at the weekend
au	as usual
aukm	are you kidding me
awol	absent without leave
ayfkm	are you friggin kidding me
aykm	are you kidding me
azn	asian
b	be
b&amp;w	black and white
b-day	birthday
b-p	sunglasses w/ tongue 
b/c	because
b/l	buddy list
b/w	between
b4	before
b4n	before now
baibai	bye bye
bb	baby
bb	bye bye
bbb	bye bye baby
bbfn	bye bye for now
bbiab	be back in a bit
bbl	be back later
bbn	bye bye now
bbs	be back soon
bc	because
bcnu	be seeing- you
bcoz	because
bcuz	because
bd	big deal
bf	boy friend
bff	best friend(s) forever
bff4life	best freind forever for life
bffae	best friend(s) forever and ever
bffl	best friend(s) for life
bfn	bye for now
bi	bye
bka	best known as
bl	belly laugh
bl	buddy list
bmg	be my guest
bmgwl	busting my gut with laughter
bnscd	but now something completely different
boc	but of course
boin	believe it or not
bot	robot
bout	about
brb	be right back
brs	back real soon
brt	be right there
bs	bull s***
bsc	basic
bsu	better shut up
btdt	been there, done that
btw	by the way
btwitiailwu	by the way I think I am in love with you
between
bubhye	bye bye
bubi	bye bye
bwl	bursting with laughter
byca	before you came along
bz	busy
c	see
c&amp;g	chuckle and grin
c2c	care to chat
cam	camera
cbb	cant be bothered
cbl	come back later
cbs	come back soon
cf	cell phone
ch	come here
chix	chicks
cico	coffee in, coffee out
cid	crying in disgrace
ck	sick
ckbk	click back
clu	cool like you
cm	call me
cmiiw	correct me if I-m wrong
cml	call me later
cmm	change(d) my mind
cn	can
cnp	continued (in my) next post
comp	computer
conv	conversation
convo	conversation
cos	because 
coz	because
cp	cell phone
cr	chat room
crbt	crying real big tears
ctc	care to chat
ctc	cut the crap
ctp	cutie pie
cts	change the subject
cu	see you
cuial	see you in another life
cul	catch you later
cul	cool
cul	see you later
cul8r	catch you later
cul8r	see you later
cuttl	crawling under the table laughing
cuz	because
cuz	cousin
cuzo	cousin
cuzsin	cousin
cwd	Chat Word Dictionary
cwfl	can-t win for losing
cwyl	chat with you later
cya	see you
cyl	call you later
cyl	see you later
cyl8r	see you later
cym	change your mind
d/ced	disconnected
d/l	download(ing)(ed)
d8	date
da	the
daiz	days
dal	dum a** loser
dat	that
datz	that-s
dc	dont come
dced	disconnected
ddm	dont disturb me
dere	there
dgac	dont give a care
dgt	dont go there
diff	different
diku	do I know you
dint	didn-t
dis	this
diy	do it yourself
diz	this
dk	don-t know
dltbbb	don-t let the bed bugs bite
dltm	don-t lie to me
dnd	do not disturb
dob	date of birth
dont	don-t
dqmot	don-t quote me on this
drlng	darling
dsmus	thats some messed up stuff
dtb	don-t text back
dtg	dance together
duct	did you see that
dunno	don-t know
duz	does
duznt	doesn-t
e1	everyone
ea	each
eg	evil grin
emd	eat my dust
emfbi	excuse me for butting in
emo	emotion
emsg	email message
enuff	enough
eof	end of file
eom	end of message
eot	end of thread
eotw	end of the world
er1	everyone
es	enough said
every1	everyone
evry	every
evry1	everyone
ez	easy
f2f	face to face
f9	fine
faffn	friends are friends for never
fanks	thanks
fc	fingers crossed
fcu	freaking cracking up
fem	feminine
ffs	for frick sake
fh	future husband
fine	5n
fing	thing
fk	french kiss
floor	laughing
fo:o	for our eyes only
focl	fell off chair laughing
foeo	for our eyes only
fomc	fell off my chair
fomclol	fell off my chair laughing out loud
fone	phone
fsr	for some reason
ftbomh	from the bottom of my heart
ftl	for the loss
ftw	for the win
fu	follow up
fubar	fowled up beyond recognition
fufl	feel unique for life
fwb	friend with benefits
fwiw	for what it-s worth
fx	effects
fya	for your amusement
fyeo	for your eyes only
fyi	for your information
g	gee
g	grin
g2cu	good to see you
g2g	got to go
g2gp	got to go pee
g-morning	good morning
g-night	good night
ga	go ahead
gal	get a life
gb	God bless
gbf	gay best friend
gd	good
gf	girl friend
gfak	go fly a kite
gfi	go for it
gfn	gone for now
gg	good game
ggn	gotta go now
ggp	gotta go pee
giaug	give it all you got
giayg	give it all you got
gimme	give me
giwist	gee I wish i-d said that
gj	good job
gjp	good job partner
gl	good luck
gm	good morning
gmab	give me a break
gmbo	giggling my butt off
gmta	great minds think alike
gn	good night
gn8	goodnight
gnstdltbbb	good night, sleep tight, don-t let the bed bugs bite
go	get out
go2	go to
goi	get over it
goia	get over it already
goin	going
gonna	going to
gooh	get out of here
gosta	got to
gotcha	got you
gr8	great
gr8fl	great for life
grgz	gorgeous
grrr	I-m so angry
gtaw	go take a walk
gtcu	glad to see you
gtfo	get the frick out
gtfoml	get the frick outtta my life
gtg	good to go
gtg	got to go
gtgemb	got to go eat my breakfast
gtgemd	got to go eat my dinner
gtgeml	got to go eat my lunch
gtl	get a life
gtld	get a life, dude 
gtsy	glad to see you
gud	good
HIM	Hotmail Instant Messenger
h&amp;k	hug and kiss
h/o	hold on
h2h	hard to hear
h8	hate
haak	how about a kiss
hadg	have a great day 
hafta	have to
hags	have a great summer
hand	have a nice day
hav2	have to
hax	hacks
hb	hurry back
hbs	hurry back soon
hbu	how about you
hc	holy cow
hduw2bb	hello do you want to be buddies?
he	hello everyone
hed	head
hf	have fun
hhhvf	ha ha ha very funny
hhis	hanging head in shame
hi	hello
hmu	hit me up
hmwrk	homework
holla	hello
hos	husband over shoulder
hru	how are you
hsx	hey sexy
htgelb	have to go eat lunch, bye
htrd	hard to recognize dude
hu	hurry up
hud	how you doing?
hus	husband
hw	homework
hw	how
ILU	I love you
IM	Instant Messenger
i&lt;3u	I love you
iae	in any event
ibu	I believe you
ibyp	I beg your pardon
ic	I see
icw	I can-t wait
id	I-d
idc	I dont care
idgad	I dont give a darn
idgaf	I dont give a frick
idgi	I don-t get it
idk	I don-t know
idt	I don-t think
idttu	I dont talk to you
idw2tai	I don-t want to talk about it
idy	I dare you
ifly	I forever love you
igp	I gotta pee
igtg	I got to go
ih2g	I have to go
ihu	I hate you
ihu	i hear u 
ijf	I just farted
ik	I know
iki	I knew it
iki	I know it
ikr	I know right
ikt	I know that
iku	I know you
ill	I-ll
ilu	I love you
ilu	iloveyou
ilu2	I love you too
ilum	I love you more
ilusfm	I love you so freaking much
ily	I love you
ily	I love you
ily2	I love you too
ilyh	I love you harder
im	I-m
imao	in my arrogant opinion
imho	in my humble opinion
imnsho	in my not so humble opinion
imo	in my opinion
in2hufe	I need to hold you forever
inet	internet
ino	I know
iono	I don-t know
iou	I owe you
iow	in other words
irdc	I really dont care 
irdk	I really dont know 
irl	in real life
isn	is an
itint	I think I know that
itz	it-s
itz	its
iukwim	if you know what I mean
iwalu	I will always love you
iwuwh	i wish you were here
iykwim	if you know what I mean
iyss	if you say so
JC	just chillin-
Jlu	Jesus loves you
j/a	just asking
j/k	joking
j/p	just playing
j/w	just wondering
j2luk	just to let you know
j2lun	just to let you know
j2lyk	just to let you know
j2lyn	just to let you know
j4g	just for giggles
j4g	just for grins
jam	just a minute
jas	just a second
jc	just chilling
jic	just in case
jj	just joking
jk	just kidding
jlt	just like that
jm	just messing
jmo	just my opinion
jrr	jumping round and round
jsi	just say it
jtluk	just to let you know
jtlun	just to let you know
jtlyk	just to let you know
jtlyn	just to let you know
jw	just wondering
jwj	jumping with joy
k	okay
k m 	kiss me
kewl	cool
kinda	kind of
kit	keep in touch
kjst	k just stop talking
kk	ok
kk	ok ok
kl	cool
kma	kiss my a**
kno	know
koc	kiss on cheek
kol	kiss on lips
koo	cool
kool	cool
kotc	kiss on the cheek
kotl	kiss on the lips
kwim	know what I mean
kwl	cool
l2s	laughing to self
l8	late
l8a	later
l8r	later
l8r g8r	later gator
lab	luke anthony boyle
lal	laugh a little
lasa	loser
lawl	(lol as a spoken word, the pronunciation of lol)
lbnol	laughing but not outloud
lbr	loser beyond repair
leet	elite hacker
lemme	let me
leta	later
lhm	Lord help me
lho	laughing (my) head off
